Original_Name,Standard_Name,DrugBank_ID,KEGG_Drug_ID,DrugType,Synonyms,Mechanism,TargetProteins,TargetGenes,AssociatedPathways,Indication,ClinicalStatus,ApprovalAgency,Drug_URL,EvidenceLevel,IsMPMRelevant,DataSource,Normalization_Status,Remark
Pemetrexed,Pemetrexed,DB00642,D01929,Small molecule,Alimta; LY231514,Antifolate chemotherapy agent inhibiting folate-dependent enzymes involved in nucleotide synthesis,Thymidylate synthase; Dihydrofolate reductase; Glycinamide ribonucleotide formyltransferase,TYMS; DHFR; GART,Cell cycle; DNA replication,Malignant pleural mesothelioma; Non-small cell lung cancer,Approved,FDA,https://go.drugbank.com/drugs/DB00642,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Cisplatin,Cisplatin,DB00515,D00275,Small molecule,Platinol; cis-DDP,Platinum-based chemotherapy causing DNA cross-linking and apoptosis,DNA,-,p53 signaling pathway; Apoptosis; DNA repair,Malignant pleural mesothelioma; Multiple cancers,Approved,FDA,https://go.drugbank.com/drugs/DB00515,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Carboplatin,Carboplatin,DB00958,D01363,Small molecule,Paraplatin,Platinum compound causing DNA damage and apoptosis,DNA,-,p53 signaling pathway; Apoptosis; DNA repair,Malignant pleural mesothelioma; Multiple cancers,Approved,FDA,https://go.drugbank.com/drugs/DB00958,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Pembrolizumab,Pembrolizumab,DB09037,D10774,Biotech,Keytruda; MK-3475,PD-1 immune checkpoint inhibitor blocking PD-1 interaction with PD-L1/PD-L2,Programmed cell death protein 1,PDCD1,Immune checkpoint pathway,Malignant pleural mesothelioma; Multiple cancers,Approved,FDA,https://go.drugbank.com/drugs/DB09037,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Nivolumab,Nivolumab,DB09035,D10320,Biotech,Opdivo; BMS-936558,PD-1 monoclonal antibody inhibitor,Programmed cell death protein 1,PDCD1,Immune checkpoint pathway,Malignant pleural mesothelioma; Multiple cancers,Approved,FDA,https://go.drugbank.com/drugs/DB09035,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Ipilimumab,Ipilimumab,DB06186,D04638,Biotech,Yervoy; MDX-010,CTLA-4 immune checkpoint inhibitor,Cytotoxic T-lymphocyte protein 4,CTLA4,Immune checkpoint pathway,Multiple cancers,Approved,FDA,https://go.drugbank.com/drugs/DB06186,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Bevacizumab,Bevacizumab,DB00112,D06409,Biotech,Avastin,VEGF-A neutralizing monoclonal antibody inhibiting angiogenesis,Vascular endothelial growth factor A,VEGFA,VEGF signaling pathway,Multiple cancers; Mesothelioma studies,Approved,FDA,https://go.drugbank.com/drugs/DB00112,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Trametinib,Trametinib,DB08911,D09993,Small molecule,Mekinist; GSK1120212,MEK1/2 inhibitor suppressing MAPK signaling,Dual specificity mitogen-activated protein kinase kinase 1; MAP2K2,MAP2K1; MAP2K2,MAPK signaling pathway,Cancer,Approved,FDA,https://go.drugbank.com/drugs/DB08911,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Everolimus,Everolimus,DB01590,D02714,Small molecule,Afinitor; RAD001,mTOR inhibitor regulating PI3K-AKT-mTOR signaling,Mechanistic target of rapamycin,MTOR,PI3K-AKT signaling pathway,Cancer,Approved,FDA,https://go.drugbank.com/drugs/DB01590,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
Olaparib,Olaparib,DB00276,D08163,Small molecule,Lynparza; AZD2281,PARP inhibitor causing synthetic lethality in DNA repair deficient tumors,Poly [ADP-ribose] polymerase 1,PARP1,Homologous recombination; DNA repair,Cancer,Approved,FDA,https://go.drugbank.com/drugs/DB00276,High,Yes,DrugBank; PubMed; FDA,Normalized,Normalized by DrugBank_ID; DrugName retained from Phase 4 source.
